,hasil
0, emang udah berapa kali pemindahan ibu kota kabupaten aja masih sebatas pindah kantor
1, cobalah pikirkan gmn cara untuk mengurangi hutang negara bukan malah sibuk urusan pindah ibu kota yang notabene membutuhkan biaya yang tidak sedikit mau cari peluang nambah hutang lagi apa ya presiden kok kayak ahh sudahlah 
2,kalo ibu kota indonesia pindah ke kalimantan jkt ganti nama dong jadi klmntn 
3,kr edisi senin pindah ibu kota jangan grusa grusu baca juga _ disetujui raperda apbd perubahan 
4,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
5,hari ini lihat berita ibu kota jadi pindah rupiah terpuruk rasanya pengen jadi hulk aja gw 
6,pindah ibu kota banyak pns bakal minta pensiun dini 
7,ibu kota pindah ini catatan penting pks buat pemerintah 
8,kalau indonesia katanya mau pindah ibu kota gw pindah tugas aja keluar kota lanjut pengawalan vvip 
9,rencana pemindahan ibu kota negara dari jakarta ke kalimantan membuat sebagian besar pns instansi pusat waswas mereka khawatir akan dipilih dalam gerbong pns pindah ibu kota 
10, yg paling benar ibu kota negara indonesia masih tetap dki jaka a yg pindah tempat kedudukan lokasi hanya kantor presiden wakil presiden dan kantor kantor pembantu pembantunya presiden
11, uluulu nanti kalo ibu kota pindah di jemput deh 
12,ibu kota pindah ini catatan penting pks buat pemerintah 
13, te usah pindah ibu kota bayar tuh utang utang 
14,yg paling benar ibu kota negara indonesia masih tetap dki jaka a yg pindah tempat kedudukan lokasi hanya kantor presiden wakil presiden dan kantor kantor pembantu pembantunya presiden
15,menurut survei yang dilakukan indonesia development monitoring idm setidaknya ada persen pns menolak rencana joko widodo itu 
16, urus ekonomi saja tidak bisa pengusaha byk yg bangkrut pajak naik dan sekarang pindah ibu kota 
17,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
18,prediksi ibu kota baru pusat pemerintahan pindah pusat ekonomi korporasi akan ikut pindah ke ibu kota baru kedutaan kantor kantor pusat bumn stasiun tv juga akan pindah 
19, bentar lagi ibu kota pindah ke kalimantan dki bikin negara sendiri kayaknya hahahaha
20, ibu kota pindah 
21, bicara kamu hebat di ilc tgl coba kita analisa omongan prof salim said dia bilang udah tua sakitan obat dibeli di singapur harga mahal makanya ibu kota ri harus pindah jkt sekarang ini kayak org tua itu mulut nya busuk bila bicara 
22, saya ingin tanya apakah dengan pindahnya ibu kota nanti akan drastis merubah jakarta menjadi pedalaman atau masih akan tetap menjadi pusat ekonomi kritik tuan bagi akal saya tidak relevan jika benar pindah status jakarta saja yang berubah kesibukannya tidak akan berubah thku
23,ibu kota jakarta boleh pindah ke kalimantan asal jalur kereta api nambo cikarang segera tersambung menyusul jalan tol yg sudah tersambung di pulau jawa merdeka hidup n k r i 
24, persen pns tolak ibu kota pindah ke kalimantan 
25, pindah ibu kota bukan penyelesaian masalah tapi menghindar dari masalah 
26,apa alasan yang cukup untuk pindah ibu kota 
27,ibu kota jakarta pindah kekalimantan ibu kita kapan besanan
28, dari pada pindah ibu kota
29, sorry usa pindah ibu kota ya
30,mendingan ibu kota pindah ke manado selamat pagi 
31, bikin referendum pilih pindah ibu kota atau perbaikan ekonomi
32, masih sibuk mau pindah ibu kota
33,biar jangkauannya luas seluruh dunia tahu ibu kota akan pindah ke bukit suharto 
34,pindah ibu kota solusi semua masalah pemerintahan jokowi po al islam 
35,wah persen pns tolak ibu kota pindah ke kalimantan 
36, makin ingin pindah ibu kota negara 
37,ibu kota pindah asn akan pensiun dini lihat di 
38,hot issue pindah ibu kota
39,pindah ibu kota negara ternyata mau mengulang sejarah lama 
40,ibu kota negara siap pindah
41, phobi soal pindah ibu kota baca sejarah peradaban ustadz biar tercerahkan 
42, kalau paksa pindah ibu kota siap siap jkw segera lengser 
43,kosong dong ibu kota negara survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
44,pakek sok an karena jakarta sudah tidak kondusif terus ibu kota mau pindah udah deh jujur aja mau kasih proyek buat cukong developer yang sebagian gagal di reklamasi dan meikarta gitu aja kok mbulet cuk 
45, saya sangat sangat sangat setuju ibu kota negara pindah ke kalimantan
46,ibu kota mau di pindah ya trs dananya emang sudah ada dr pd uang di hamburkan untuk hal yg kurang tepat mending buat kesejahteraan rakyat indonesia aja kl mau pindah ibu kota sekalian aja pindah ke planet mars 
47,dalam waktu dekat presiden joko widodo akan mengumumkan lokasi ibu kota baru sejumlah kontraktor pelat merah pun atur strategi 
48,kereta cepat bdg jkt utk apa kalo ibu kota pindah 
49, pindah ibu kota prank bukan ya 
50,ibu kota ri pindah ke papua 
51, kaya masih jaman orla aja pemerintahan kerjanya apa dong ini rakyat yg menggaji mu harusnya kasus beginilah yg harus lebih diperhitungkan di banding pindah ibu kota 
52,pns asn ogah pindah ke kalimantan gubrakkkk 
53, gini yaaa hutan digunduli itu logika nya ga selalu karena ada ibu kota walaupun ibukota ga jadi pindah ke kalimantan hutan di kalimantan lambat laun juga tetap akan gundul karena apa karena makin taun ke taun itu jumlah manusia bertambah sementara lahan dibumi ga bertambah
54,pindah ibu kota adalah asbun jokowi tidak semudah bagi bagi sepeda ferguso persen asn tolak rencana pemindahan ibu kota 
55,menteri era soeharto kritik rencana jokowi pindah ibu kota 
56,persiapan dan apa yang detikers lakukan jika ibukota indonesia jadi pindah mencoba peluang baru dari tempat kerja atau malah ngasih kado 
57, bagus ibu kota pindah dari pada anis minta dana percantik ibu kota t
58,teman yg mau berkerja d asn siap ada ribu asn pusat mintah pensiun dini karna g mau ibu kota pindahkan asn yg buta melanggar sumpah jabatan ngelawan jokowi hampir semua asn tolak ibukota pindah mending pensiun dini 
59,ribut pemindahan ibu kota ri apa sebenarnya yg akan di kejar pemerintahan saat ini apakah jokowi akan dikenang sebagai presiden mewujudkan ibu kota pindah atau dikenang sebagai presiden yg terpilih dgn kecurangan monggo dibahas 
60, ketika salah dibully abis abisan ketika berprestasi pada pura pura gk tau pantes ibu kota mau pindah wkwk
61,gol bunuh diri persen pns tolak ibu kota pindah ke kalimantan 
62,hrs ada keberanian utk eksekusi kebijakan pindah ibu kota utk selamatkan jakarta dr beban demografi ekologi transportasi yg semakin menyengsarakan warganya beban kota besar di pulau jawa juga akan terselamatkan jika ibu kota pindah ke kalimantan krn arus urbanisasi berkurang 
63,ibu kota pindah kontraktor pelat merah siap siap 
64, pindah ibu kota nanti juga di ralat tadz 
65,me tinggal di kaltim trus pindah ke jakarta bbrp tahun lalu pemerintah ibu kota pindah ke kaltim kyknya pemerintah gamau deket gue deh 
66,live presiden jokowi umumkan lokasi ibu kota yang baru jadi pindah
67,di tengah negara lagi di bebani utang masalah papua pemerintah rencana kan pindah ibu kota jakarta ke ci kodol dasar kodok 
68, cara berpikir jokowi ini buat marah aja ekonomi sdh sulit bnyk pengangguran keutuhan nkri ada gejolak dan banyak masalah hukum lainnya mestinya yg dipikirkan itu dulu atau byr hutang dulu ini malah minta pindah ibu kota 
69, persen pns di jakarta tolak ibu kota pindah ke kalimantan 
70, perencanaan pindah ibu kota ga mungkin setaun dua taun ini udh direncanain lama 
71,ahok rakyat masih susah untuk apa ngabisin ratusan triliun pindah ibu kota kalo ada masalah jakarta atasi dong masalahnya 
72,bisa untuk biaya pindah ibu kota dong 
73, memang nya andre itu siapa apa takut klu pindah ibu kota ngk ada demo berjilid para kadal gurun ketakutan klu ibu kota pindah
74,kajian ilmiah lah wong pak jokowi sudah memutuskan pindah tinggal tunggu waktu kok bukannya nunggu kajian ilmiah 
75, setujuuuuuuuuui persen apalah artinya pindah ibu kota negara kalo orang masih hidup susah mending duitnya dipakai buat memakmurkan rakyat bgt ndrooo
76,ibu kota jadi pindah kira kira apa ya profesi yang laris nantinya 
77, bentar lagi nunggu realisasi ibu kota pindah ke kaltim haha
